campo,ano,mes,tituloPT,tituloEN,keywordsPT,keywordsEN,sinopsePT,sinopseEN,foto1,foto2,foto3,id
passado,2019,set,Beta Kit no Conexão Maker,Beta Kit on Conexão Maker,"educação maker, criatividade, TV","maker education, creativity, TV","Conexão Maker é uma série do Canal Futura que aborda o universo dos makerspaces, da fabricação digital e da cultura do ""faça-você-mesmo"". Apresentado pela consultora de inovação Gabi Agostini, cada episódio traz dois projetos convidados no formato de reality show, onde as equipes trabalham juntas para resolver desafios. O Beta Kit e a ARR Braços Robóticos foram convidados para um episódio gravado no espaço Mundo Maker. Os desafios foram montar um Pinball educativo feito de sucata e desenvolver propostas pedagógicas para os braços robóticos. A equipe da ARR trouxe uma expertise da engenharia e ajudou o Beta Kit a desenvolver engenhocas mais profissionais, enquanto que o Beta Kit trouxe a expertise pedagógica e ajudou a ARR a desenvolver narrativas para a aplicação dos braços robóticos no ensino fundamental. O episódio também contou com a participação do especialista Eduardo Lopes, fundador do Garagem Fab Lab. <br /><br />

Assista na íntegra aqui: http://www.futuraplay.org/video/beta-kit-e-bracos-roboticos/504721/","Conexão Maker is a TV serie from Futura Channel that addresses the universe of makerspaces, digital fabrication and do-it-yourself culture. Presented by innovation consultant Gabi Agostini, each episode features two guest projects in reality show format, where teams work together to solve challenges. Beta Kit and ARR Robotic Arms were invited to an episode recorded at Mundo Maker space. The challenges were setting up an educational pinball made of cheap materials and developing pedagogical proposals for the robotic arms. The ARR team brought an engineering expertise and helped Beta Kit develop more professional gadgets, while Beta Kit brought a pedagogical expertise and helped ARR develop narratives for the application of robotic arms in elementary school. The episode also featured the participation of expert Eduardo Lopes, founder of Garagem Fab Lab. <br /> <br />
Watch the complete episode here: http://www.futuraplay.org/video/beta-kit-e-bracos-roboticos/504721/",i/blog/conexaomaker1.jpg,i/blog/conexaomaker2.jpg,i/blog/conexaomaker3.jpg,conexaomaker
passado,2019,ago,Code Day para professores da rede pública em Manaus,Code Day for public school teachers in Manaus,"educação maker, internet das coisas, formação de professores","maker education, internet of things, teacher training","O CodeIoT é uma plataforma com cursos livres de internet das coisas (IoT), programação, eletrônica básica, robótica, etc. O projeto é uma parceria da Samsung e do Laboratório de Sistemas Integráveis (LSI-TEC) da Escola Politécnica da USP. Entre 14 e 20/08, o projeto promoveu o ""Code Day"" em Manaus. Foram 5 formações de 1 dia para um total de 342 professores da rede pública do estado do Amazonas, levando a introdução aos princípios de internet das coisas e programação física com Arduino para serem aplicados em sala de aula. Nathan Rabinovitch, fundador do Beta Kit, é um dos parceiros do Code IoT e participou como formador no projeto. Os professores desenvolveram diversos projetos mão-na-massa integrando tecnologia com sustentabilidade, ciências, história e matemática. Saiba mais sobre o CodeIoT em: http://www.codeiot.org.br","CodeIoT is a platform of free courses on Internet of things (IoT), programming, basic electronics, robotics, etc. The project is a partnership of Samsung and the Integrated Systems Laboratory (LSI-TEC) of USP Polytechnic School. Between 14 and 20/08, the project promoted the ""Code Day"" in Manaus. There were 5 one-day trainings for a total of 342 public school teachers in the state of Amazonas, leading to the introduction of IoT principles and physical programming with Arduino to be applied in the classroom. Nathan Rabinovitch, founder of Beta Kit, is a partner of Code IoT team and participated as an trainer in the project. Teachers have developed several hands-on projects integrating technology with sustainability, science, history and math. Learn more about CodeIoT at: http://www.codeiot.org.br",i/blog/codeday1.jpg,i/blog/codeday2.jpg,i/blog/codeday3.jpg,codeday
passado,2019,ago,Roda Tinkerê na Faber Castell,Tinkerê Circle at Faber Castell,"educação, criatividade, roda de conversa","education, creativity, conversation circle","O Tinkerê é uma iniciativa de um grupo de profissionais que trabalham com educação e criatividade e se uniram para explorar juntos experiências de aprendizagem baseadas no 'tinkering' - um processo de aprender com a mão na massa e brincando. Um dos membros do grupo é Nathan Rabinovitch, residente do LILO.ZONE com a iniciativa do Beta Kit. O grupo tem parceria oficial com o Tinkering Studio do Exploratorium Museum (São Francisco, Califórnia) e uma das atividades realizadas foi a tradução de tutoriais de atividades do Tinkering Studio para o português, que estão disponibilizados no site: https://www.tinkere.org.br/. <br /><br />
Na semana da Conferência Brasileira de Aprendizagem Criativa, em que convidados internacionais estiveram no Brasil, como representantes do Tinkering Studio, da Lego Foundation e do MIT Media Lab, o grupo Tinkerê organizou a Roda de conversa ""Práticas tinkering em propostas de educação mão-na-massa"" na sede da Faber Castell, apoiadora do evento, com a presença desses convidados especiais. A Roda ocorreu no dia 23/08 e teve o objetivo de discutir a importância do brincar nas práticas educacionais, contando com uma rica troca de conhecimentos sobre o assunto.  ","Tinkerê is an initiative of a group of professionals who work with education and creativity and have come together to explore tinkering-based learning experiences - a process of hands-on and playing learning. One of the group members is Nathan Rabinovitch, resident of LILO.ZONE with the Beta Kit initiative. The group has official partnership with the Exploratorium Museum's Tinkering Studio (San Francisco, California) and one of the activities was the translation of tutorials from Tinkering Studio activities to Portuguese, which are available at: https://www.tinkere.org.br/.
<br /> <br />
In the week of the Brazilian Conference on Creative Learning, in which international guests were in Brazil, as representatives of Tinkering Studio, Lego Foundation and MIT Media Lab, the Tinkerê group organized a Conversation Circle ""Tinkering Practices in Hands-on Education Proposals"" at Faber Castell, sponsor of the event, with presence of these special guests. The Circle took place on August 23 and aimed to discuss the importance of playing in educational practices, counting on a rich exchange of knowledge on the subject.",i/blog/tinkere1.jpg,i/blog/tinkere2.jpg,i/blog/tinkere3.jpg,tinkere
passado,2019,jul,FEV2018 no Data Summit,FEV2018 at Data Summit,"ciência de dados, instalação, arte","data science, installation, art","O Cappra Data Summit é um evento sobre ciência de dados que ocorreu de 13 a 20 de julho na Digital House em São Paulo. Lina Lopes foi convidada para expor uma obra sobre visualização de dados no evento, o FEV2018, projeto que realizou durante um grupo de estudos de economia circular conduzido por Anderson Penha. A fim de trazer questionamentos sobre o lixo e seus significados, Lina Lopes guardou todo o seu lixo físico durante 1 mês, como boletos, embalagens e rascunhos. Para descobrir quais palavras mais jogava no lixo, extraiu as palavras escritas através de OCR (optical character recognition). Um script generativo produziu visualizações das palavras que mais apareciam e abriu espaço para sentimentos e reflexões. Com colaboração de Lidia Ganhito e Luis Leão, o lixo foi selecionado e compactado para a construção da instalação e um Haikai foi montado com as palavras jogadas fora, utilizando Natural Process Language. Afinal, o que nossos dados não explorados podem revelar sobre nós mesmos?","Cappra Data Summit is a data science event that took place July 13-20 at the Digital House in Sao Paulo. Lina Lopes was invited to exhibit a work on data visualization at the event, FEV2018, a project she made during a circular economics study group conducted by Anderson Penha. In order to raise questions about the garbage and its meanings, Lina Lopes kept all of her physical garbage for 1 month, such as slips, packaging and drafts. To find out which words were thrown in the trash most, extracted the words written through OCR (optical character recognition). A generative script produced visualizations of the words that most appeared and made room for feelings and reflections. With the collaboration of Lidia Ganhito and Luis Leão, the garbage was selected and compacted for the construction of the installation and a Haikai was assembled with the words thrown away using Natural Process Language. After all, what can our unexploited data reveal about ourselves?",i/blog/fev2018_1.jpg,i/blog/fev2018_2.jpg,i/blog/fev2018_3.jpg,fev.2018
passado,2019,jun,Lina Lopes no FAB LAB Maceió,Lina Lopes at FAB LAB Maceió,"palestra, design, interatividade","lecture, design, interactivity","Em 17/06, Lina Lopes esteve no FAB LAB Maceió na Universidade Federal de Alagoas (UFAL) para dar a palestra ""Design e criação de projetos interativos: entre o digital e o material"". O convite veio de Ivvy Quintella, diretora do FAB LAB e professora de Fabricação Digital no curso de Engenharia Civil da UFAL. Para abordar conceitos de interação e responsividade, Lina mostrou alguns de seus projetos, como o “Labirinto de Areia” (2015) que fez parte do início de seu mestrado e o <a href=""http://www.zucchini.video/apetalforthree.html/"">""A Petal for Three"" (2018)</a>, como exemplos da relação entre arquitetura, eletrônica, computação física e interação. Além disso, por estar em um ambiente de pesquisa de novos materiais, trouxe o <a href=""http://www.biolilolab.com//"">BioLiloLab</a> para a conversa, o laboratório de biohacking do LILO.ZONE, mostrando a ideia de produzir tijolos de fungo e os primeiros testes realizados no laboratório. 
","On June 17, Lina Lopes was at the FAB LAB Maceió at the Federal University of Alagoas (UFAL) to give the lecture ""Design and creation of interactive projects: between digital and material"". The invitation came from Ivvy Quintella, director of the FAB LAB and teacher of Digital Manufacturing in the Civil Engineering course at UFAL. To address concepts of interaction and responsiveness, Lina showed some of her projects, such as the “Sand Labyrinth” (2015) that was part of the beginning of her master's degree and <a href=""http://www.zucchini.video/apetalforthree.html/"">""A Petal for Three"" (2018)</a>, as examples of the relationship between architecture, electronics, physical computing and interaction. Also, being in a research environment for new materials, she brought <a href=""http://www.biolilolab.com//"">BioLiloLab</a> to the conversation, LILO.ZONE's biohacking lab, showing the idea of producing fungus bricks and the first tests performed in the lab.",i/blog/fablabmaceio1.jpg,i/blog/fablabmaceio2.jpg,,fablabmaceio
passado,2019,jun,Investigações Pneumáticas,Pneumatic Investigations,"prototipagem, soft robotics, grupo de estudos","prototyping, soft robotics, study group","Durante 6 quartas-feiras entre maio e junho, aconteceram os encontros do grupo de estudos Investigações Pneumáticas, propondo explorações livres e experimentais no universo das estruturas pneumáticas e soft robotics. No repertório também estavam: air muscles, motores com controle de arduino, válvulas para sistemas pneumáticos e parametria para modelar em 3D. Os participantes imaginaram produzir um coração artificial que pulsa como um protótipo alvo, e para isso começaram a estudar possibilidades de tecnologias e materiais. Um dos desafios explorados foi como produzir um molde 3D parametricamente para uma peça que respondesse com movimento a partir de ar comprimido. Para isso, foram testados dois materiais candidatos a essa funcionalidade: látex e silicone. O grupo contou com a parceria da empresa 3D Criar, que forneceu a impressora 3D ZMorph para a impressão de moldes para as peças de látex e silicone. Também teve a participação e mentoria dos especialistas em silicone César Garcia e Fernando Dias. Nesses primeiros estudos, o grupo verificou que o látex apresentou características mais promissoras de elasticidade do que o silicone, necessárias para responder bem ao ar comprimido. O grupo tem a perspectiva de continuar no futuro para seguir com os estudos e colocar o protótipo em funcionamento. ","Over 6 Wednesdays between May and June, the Pneumatic Investigations study group took place, proposing free and experimental explorations in the universe of pneumatic structures and soft robotics. In the repertoire were also: air muscles, arduino-controlled engines, valves for pneumatic systems and parametrics for 3D modeling. Participants envisioned producing an artificial heart that beats as a target prototype, and began to study possibilities of technologies and materials. One of the challenges explored was how to produce a parametrically 3D mold for a part that responded with movement from compressed air. For this, two candidate materials for this functionality were tested: latex and silicone. The group was partnered by the company 3D Criar, which provided the ZMorph 3D printer for printing molds for latex and silicone parts. Also had the participation and mentoring of silicone specialists César Garcia and Fernando Dias. In these early studies, the group found that latex had more promising elasticity characteristics than silicone, needed to respond well to compressed air. The group has the prospect of continuing in the future to follow with the studies and finalize the prototype.",i/blog/pneumaticos1.jpg,i/blog/pneumaticos2.jpg,i/blog/pneumaticos3.jpg,pneumaticos
passado,2019,jun,Nana no Festival GIF - IED,Nana at GIF Festival - IED,"wearables, evento, prototipagem ","wearables, event, prototyping","No dia 15/06, o NANA, kit de wearables do LILO.ZONE, esteve presente no Festival GIF, o festival de interações, design e comunicação do Instituto Europeu de Design (IED-SP). O NANA está sendo desenvolvido no LILO.ZONE desde dezembro de 2018 por uma equipe de especialistas em design, arte e tecnologia, com a finalidade de ser um kit simples e acessível para a prototipagem em tecnologias vestíveis. A apresentação no Festival GIF foi a primeira exposição do projeto a um público geral e não especializado em Wearables. Durante o evento, Anais Karenin, artista e parceira do projeto, conduziu as demonstrações das peças desenvolvidas com o kit, como o chapéu com bluetooth, o colar com LEDs e a gola que infla, mostrando ao público um mundo de possibilidades que o kit pode oferecer. Saiba mais sobre o NANA em www.nana-kit.com. ","On June 15th, NANA, wearables kit from LILO.ZONE, was present at the GIF Festival, the European Design Institute's (IED-SP) festival of interactions, design and communication. NANA has been developed at LILO.ZONE since December 2018 by a team of design, art and technology experts to be a simple and affordable prototyping kit for wearable technologies. The presentation at the GIF Festival was the project's first exhibition to a general audience and not specialized in Wearables. During the event, Anais Karenin, artist and project partner, conducted demonstrations of the pieces developed with the kit, such as the bluetooth hat, the LED necklace and the inflating collar, showing the public a world of possibilities that the kit can offer. Learn more about NANA at www.nana-kit.com.",i/blog/nanagif1.jpg,i/blog/nanagif2.jpg,i/blog/nanagif3.jpg,nanagif
passado,2019,jun,"Painel Cidades Inteligentes - Exponential Conference 2
","Smart Cities Panel - Exponential Conference 2
","cidades inteligentes, evento, inovação","smart cities, event, innovation","A Exponential Conference é um evento que reúne uma comunidade de pessoas interessadas em inovação, tecnologia e futurismo. A segunda edição do evento ocorreu em 8 de junho e Lina Lopes foi convidada para participar do Painel Cidades Inteligentes, ao lado de Guilherme Viotti (Projeto Venus), Professor Alberti (Inatel) e mediação de Isadora Ferraz. Lina trouxe seu olhar abordando questões que vão além do foco tradicional em infraestrutura quando se fala de cidades inteligentes. Comentou sobre interações humanas, uso coletivo dos espaços e trouxe o conceito de ""smart people"" para além de ""smart cities"", trazendo provocações sobre como podemos mudar nosso olhar para propor novas relações com o espaço que ocupamos. 
","Exponential Conference is an event that brings together a community of people interested in innovation, technology and futurism. The second edition of the event took place on June 8 and Lina Lopes was invited to participate in the Smart Cities Panel, alongside Guilherme Viotti (Venus Project), Professor Alberti (Inatel) and mediation by Isadora Ferraz. Lina brought her vision to the table by addressing issues that go beyond the traditional focus on infrastructure when it comes to smart cities. She commented on human interactions, collective use of spaces and brought the concept of ""smart people"" beyond ""smart cities"", bringing provocations about how we can change our look to propose new relationships with the space we occupy.
",i/blog/expconf1.jpg,i/blog/expconf2.jpg,,expconf
passado,2019,jun,Gravação do Curso Online - Cultura Maker,Recording Online Course - Maker Culture ,"curso online, cultura maker, educação","online course, maker culture, education","A Slash Education, plataforma lifelong learning da PUCPR (Curitiba), convidou Lina Lopes para gravar um curso online denominado ""Cultura Maker: Como ser um fazedor de coisas e experiências"". O curso foi gravado em 04/06 no LILO.ZONE e traz um panorama geral para se iniciar nesse cultura, abordando temas como makerspaces, fabricação digital, prototipagem e criatividade, na visão e expertise de Lina Lopes, que atua no movimento maker há mais de 10 anos. O curso já está disponível no site da Slash Education, confira: https://slash.eadbox.com/courses/cultura-maker-como-ser-um-fazedor-de-coisas-e-experiencias","Slash Education, PUCPR's lifelong learning platform (Curitiba), invited Lina Lopes to record an online course called ""Maker Culture: How to be a maker of things and experiences"". The course was recorded on June 04 at LILO.ZONE and brings an overview to start in this culture, addressing topics such as makerspaces, digital manufacturing, prototyping and creativity, in the vision and expertise of Lina Lopes, who has been active in the maker movement for more than 10 years. The course is now available on the Slash Education website, check out: https://slash.eadbox.com/courses/cultura-maker-how-ser-a-things-and-experience",i/blog/culturamaker1.jpg,i/blog/culturamaker2.jpg,,culturamaker
passado,2019,mai,"Café Tecnológico #8 - Experimentações no Design e na Biologia
","Technological Coffee # 8 - Experiments in Design and Biology
","café tecnológico, bioarte, biohacking
","technological coffee, bioart, biohacking
","No dia 30/05, Eduardo Padilha e Lina Lopes apresentaram um Café Tecnológico para mostrar as experimentações desenvolvidas no BioLiloLab sobre bioarte. Em sua exposição, mostraram novas possibilidades que mesclam microorganismos com fabricação digital, arte urbana e pura experimentação. Trouxeram um pouco das técnicas de cultivo e manipulação de microorganismos, sua história e suas potencialidades de uso em projetos artísticos. Mostraram também um panorama sobre projetos mundiais de bioarte e biohacking, além de contar sobre o grupo de estudos Microbiologia para Artistas, que aconteceu em abril e maio no BioLiloLab. Saiba mais aqui: https://microbiologia.biolilolab.com/

","On May 30th, Eduardo Padilha and Lina Lopes presented a Technological Café to show the BioLiloLab experiments on bioart. In their exhibition, they showed new possibilities that mix microorganisms with digital fabrication, urban art and pure experimentation. They brought some of the techniques of cultivation and manipulation of microorganisms, their history and their potential for use in artistic projects. They also provided an overview of worldwide bioart and biohacking projects, as well as the Microbiology for Artists study group, which took place in April and May in BioLiloLab. Learn more here: https://microbiologia.biolilolab.com/
",i/blog/cafe8a.jpg,i/blog/cafe8b.jpg,i/blog/cafe8c.jpg,cafe8
